timestamp,classification
20251201_152752,spike
20251201_152935,spike
20251201_153118,spike
20251201_153210,spike
20251201_153352,spike
20251201_153807,spike
20251201_153949,spike
20251201_154136,spike
20251201_154229,spike
20251201_154321,spike
20251201_154507,spike
20251201_154740,spike
20251201_154923,spike
20251201_155015,spike
20251201_161720,spike
20251201_161814,spike
20251201_161906,spike
20251201_161958,spike
20251201_162053,spike
20251201_162242,spike
20251201_162334,spike
20251201_162522,spike
20251201_162616,spike
20251201_162710,spike
20251201_162804,spike
20251201_163804,spike
20251201_164147,spike
20251201_164240,spike
20251201_164334,spike
20251201_164613,spike
20251201_164707,spike
20251201_164801,spike
20251201_164855,spike
20251201_165042,spike
20251201_165136,spike
20251201_165229,spike
20251201_165324,spike
20251201_165701,spike
20251201_165755,spike
20251201_165849,spike
20251201_170038,spike
20251201_170130,spike
20251201_170225,spike
20251201_170319,spike
20251201_170836,spike
20251201_171120,spike
20251201_171309,spike
20251201_171737,spike
20251201_171832,spike
20251201_172402,spike
20251201_172549,spike
20251201_172647,spike
20251201_172743,spike
20251201_172838,spike
20251201_185202,spike
20251201_191318,persistent
20251201_191518,persistent
20251201_191703,spike
20251201_191909,spike
20251201_192355,spike
20251201_192500,spike
20251201_192611,spike
20251201_192715,spike
20251201_192826,spike
20251201_193450,spike
20251201_193603,spike
20251201_194308,oscillation
20251201_194436,oscillation
20251201_194555,oscillation
20251201_194728,oscillation
20251201_194852,oscillation
20251201_195034,oscillation
20251201_195157,oscillation
20251201_195318,oscillation
20251201_195441,oscillation
20251201_195603,oscillation
20251201_195725,oscillation
20251201_195851,oscillation
20251201_200015,oscillation
20251201_200139,oscillation
20251201_200304,oscillation
20251201_200429,oscillation
20251201_200553,oscillation
20251201_200719,oscillation
20251201_200846,oscillation
20251201_201012,oscillation
20251201_201140,oscillation
20251201_201308,oscillation
20251201_201435,oscillation
20251201_202132,oscillation
20251201_204157,oscillation
20251201_204548,oscillation
20251201_204651,oscillation
20251201_205042,oscillation
20251201_205436,oscillation
20251201_205540,oscillation
20251201_212622,persistent
20251201_212723,persistent
20251201_212818,persistent
20251201_212917,persistent
20251201_213018,persistent
20251201_213118,persistent
20251201_213319,persistent
20251201_213430,persistent
20251201_213538,persistent
20251201_213647,persistent
20251201_213801,persistent
20251201_213912,persistent
20251201_214432,persistent
20251201_214529,persistent
20251201_214627,persistent
20251201_214723,persistent
20251201_214823,persistent
20251201_214921,persistent
20251201_215344,persistent
20251201_215442,persistent
20251201_215537,persistent
20251201_215632,persistent
20251201_215728,persistent
20251201_215825,persistent
20251201_220035,spike
20251201_220148,spike
20251201_220339,spike
20251201_220642,spike
20251201_220945,spike
20251201_221154,spike
20251201_221307,spike
20251201_221635,spike
20251201_221747,spike
20251201_221901,spike
20251201_222147,spike
20251201_222501,spike
20251201_222614,spike
20251201_223124,spike
20251201_223340,spike
20251201_223935,spike
20251201_224206,spike
20251201_225824,oscillation
20251202_005402,oscillation
20251202_005525,oscillation
20251202_005648,oscillation
20251202_005808,oscillation
20251202_005944,oscillation
20251202_010109,oscillation
20251202_010232,oscillation
20251202_010358,oscillation
20251202_010650,oscillation
20251202_010812,oscillation
20251202_011104,oscillation
20251202_011228,oscillation
20251202_011350,oscillation
20251202_011516,oscillation
20251202_011644,oscillation
20251202_011807,oscillation
20251202_011928,oscillation
20251202_012049,oscillation
20251202_012215,oscillation
20251202_012336,oscillation
20251202_012500,oscillation
20251202_012635,oscillation
20251202_012800,oscillation
20251202_012939,oscillation
20251202_013102,oscillation
20251202_013228,oscillation
20251202_013351,oscillation
20251202_013515,oscillation
20251202_013637,oscillation
20251202_013803,oscillation
20251202_013925,oscillation
20251202_014055,oscillation
20251202_014219,oscillation
20251202_014346,oscillation
20251202_014507,oscillation
20251202_014628,oscillation
20251202_014752,oscillation
20251202_014856,oscillation
20251202_014939,oscillation
20251202_015046,oscillation
20251202_015432,oscillation
20251202_015715,oscillation
20251202_020101,oscillation
20251202_020455,oscillation
20251202_020739,oscillation
20251202_021022,oscillation
20251202_023330,oscillation
20251202_025150,oscillation
20251202_025252,oscillation
20251202_025925,oscillation
20251202_030032,oscillation
20251202_030136,oscillation
20251202_031101,oscillation
20251205_171937,persistent
20251205_172043,persistent
20251205_172150,persistent
20251205_172300,persistent
20251205_172406,persistent
20251205_172511,persistent
20251205_172616,persistent
20251205_172721,persistent
20251205_173727,persistent
20251205_173832,persistent
20251205_173936,persistent
20251205_174041,persistent
20251205_174149,persistent
20251205_174255,persistent
20251205_174400,persistent
20251205_174506,persistent
20251205_174611,persistent
20251205_185430,persistent
20251205_185535,persistent
20251205_185645,persistent
20251206_170136,oscillation
20251206_172328,oscillation
20251206_172511,oscillation
20251206_172646,oscillation
20251206_172805,oscillation
20251206_172923,oscillation
20251206_173043,oscillation
20251206_173242,oscillation
20260121_154019,oscillation
20260121_165711,oscillation
