timestamp,faulty_frame
20251201_152752,204
20251201_152935,193
20251201_153118,201
20251201_153210,205
20251201_153352,179
20251201_153807,194
20251201_153949,219
20251201_154136,182
20251201_154229,179
20251201_154321,219
20251201_154507,182
20251201_154740,195
20251201_154923,199
20251201_155015,199
20251201_161720,47
20251201_161814,40
20251201_161906,37
20251201_161958,38
20251201_162053,38
20251201_162242,43
20251201_162334,44
20251201_162522,40
20251201_162616,44
20251201_162710,43
20251201_162804,27
20251201_163804,54
20251201_164147,63
20251201_164240,61
20251201_164334,52
20251201_164613,59
20251201_164707,63
20251201_164801,51
20251201_164855,49
20251201_165042,61
20251201_165136,43
20251201_165229,205
20251201_165324,201
20251201_165701,180
20251201_165755,205
20251201_165849,202
20251201_170038,44
20251201_170130,202
20251201_170225,215
20251201_170319,199
20251201_170836,202
20251201_171120,211
20251201_171309,192
20251201_171737,204
20251201_171832,193
20251201_172402,216
20251201_172549,196
20251201_172647,185
20251201_172743,221
20251201_172838,199
20251201_185202,202
20251201_191318,11
20251201_191518,12
20251201_191703,176
20251201_191909,113
20251201_192355,122
20251201_192500,135
20251201_192611,127
20251201_192715,148
20251201_192826,147
20251201_193450,148
20251201_193603,157
20251201_194308,135
20251201_194436,125
20251201_194555,123
20251201_194728,136
20251201_194852,132
20251201_195034,135
20251201_195157,131
20251201_195318,124
20251201_195441,126
20251201_195603,120
20251201_195725,134
20251201_195851,135
20251201_200015,131
20251201_200139,136
20251201_200304,132
20251201_200429,135
20251201_200553,127
20251201_200719,136
20251201_200846,136
20251201_201012,139
20251201_201140,133
20251201_201308,135
20251201_201435,134
20251201_202132,76
20251201_204157,87
20251201_204548,75
20251201_204651,86
20251201_205042,77
20251201_205436,81
20251201_205540,72
20251201_212622,8
20251201_212723,6
20251201_212818,12
20251201_212917,7
20251201_213018,13
20251201_213118,8
20251201_213319,6
20251201_213430,15
20251201_213538,10
20251201_213647,6
20251201_213801,18
20251201_213912,16
20251201_214432,9
20251201_214529,4
20251201_214627,7
20251201_214723,7
20251201_214823,7
20251201_214921,6
20251201_215344,5
20251201_215442,5
20251201_215537,12
20251201_215632,10
20251201_215728,7
20251201_215825,8
20251201_220035,136
20251201_220148,133
20251201_220339,128
20251201_220642,135
20251201_220945,135
20251201_221154,137
20251201_221307,143
20251201_221635,134
20251201_221747,139
20251201_221901,140
20251201_222147,150
20251201_222501,140
20251201_222614,141
20251201_223124,139
20251201_223340,122
20251201_223935,130
20251201_224206,126
20251201_225824,128
20251202_005402,136
20251202_005525,134
20251202_005648,113
20251202_005808,124
20251202_005944,125
20251202_010109,126
20251202_010232,136
20251202_010358,136
20251202_010650,125
20251202_010812,132
20251202_011104,131
20251202_011228,137
20251202_011350,141
20251202_011516,135
20251202_011644,133
20251202_011807,128
20251202_011928,133
20251202_012049,138
20251202_012215,128
20251202_012336,130
20251202_012500,135
20251202_012635,131
20251202_012800,135
20251202_012939,122
20251202_013102,136
20251202_013228,131
20251202_013351,133
20251202_013515,133
20251202_013637,139
20251202_013803,129
20251202_013925,137
20251202_014055,135
20251202_014219,141
20251202_014346,127
20251202_014507,134
20251202_014628,133
20251202_014752,74
20251202_014856,77
20251202_014939,90
20251202_015046,79
20251202_015432,82
20251202_015715,78
20251202_020101,80
20251202_020455,88
20251202_020739,96
20251202_021022,94
20251202_023330,88
20251202_025150,89
20251202_025252,62
20251202_025925,91
20251202_030032,90
20251202_030136,87
20251202_031101,82
20251205_171937,165
20251205_172043,14
20251205_172150,13
20251205_172300,12
20251205_172406,14
20251205_172511,7
20251205_172616,4
20251205_172721,6
20251205_173727,6
20251205_173832,2
20251205_173936,5
20251205_174041,12
20251205_174149,14
20251205_174255,2
20251205_174400,12
20251205_174506,3
20251205_174611,4
20251205_185430,9
20251205_185535,13
20251205_185645,12
20251206_170136,137
20251206_172328,135
20251206_172511,127
20251206_172646,121
20251206_172805,120
20251206_172923,119
20251206_173043,123
20251206_173242,133
20260121_154019,332
20260121_165711,85
