timestamp,classification
20251201_152752,spike
20251201_155015,spike
20251201_161720,spike
20251201_161814,spike
20251201_161906,spike
20251201_165701,spike
20251201_170038,spike
20251201_170130,spike
20251201_170836,spike
20251201_185202,spike
20251201_191318,persistent
20251201_193603,spike
20251201_194308,oscillation
20251201_201435,oscillation
20251201_202132,oscillation
20251201_205540,oscillation
20251201_212622,persistent
20251201_224206,spike
20251201_225824,oscillation
20251202_014628,oscillation
20251202_031101,oscillation
20251205_171937,persistent
20251205_185645,persistent
20260121_165711,oscillation
